Idx;Coordinates;Altitude
6;13˚34.900'N 144˚55.850'E;606
4;13˚29.083'N 144˚47.817'E;255
8;13˚37.500'N 144˚51.483'E;522
5;13˚26.283'N 144˚38.533'E;94
1;14˚10.450'N 145˚14.450'E;569
2;15˚07.133'N 145˚43.733'E;213
3;14˚59.950'N 145˚37.150'E;284
